GENESIS-Tabelle: 61111-0003
Consumer price index: Germany, years, individual consumption;;;;;;
by purpose (COICOP 2-5-digit hierarchy);;;;;;
Consumer price index for Germany;;;;;;
Germany;;;;;;
Consumer price index (2020=100);;;;;;
;;2019;2020;2021;2022;2023
CC13-09511;      Fiction books;98.7;100.0;101.6;105.2;110.4
CC13-09512;      Educational textbook;97.5;100.0;101.4;103.1;108.7
CC13-09513;      Other books;99.4;100.0;102.4;104.8;110.7
CC13-09514;      E-book download;106.8;100.0;105.6;107.7;112.5
CC13-0952;    Newspapers and periodicals;95.9;100.0;104.4;109.6;116.8
CC13-09521;      Daily and weekly newspapers;95.4;100.0;104.7;109.8;116.8
CC13-09522;      Magazines and periodicals ;97.0;100.0;103.9;109.2;116.9
CC13-0953;    Miscellaneous printed matter;99.0;100.0;100.5;104.5;109.4
CC13-09530;      Miscellaneous printed matter;99.0;100.0;100.5;104.5;109.4
CC13-0954;    Stationery and drawing materials;99.3;100.0;102.7;111.1;121.3
CC13-09541;      Paper products;100.3;100.0;103.7;121.6;138.9
CC13-09549;      Other stationery and drawing materials;99.1;100.0;102.4;108.1;116.3
CC13-096;  Package holidays;103.2;100.0;103.7;113.7;124.0
CC13-0960;    Package holidays;103.2;100.0;103.7;113.7;124.0
CC13-09601;      Package domestic holidays;99.9;100.0;99.9;106.8;117.5
CC13-09602;      Package international holidays;103.4;100.0;104.0;114.2;124.4
CC13-10;Education;100.2;100.0;102.5;104.9;108.9
CC13-101;  Services of pre-primary and primary education;102.7;100.0;103.5;105.8;109.4
CC13-1010;    Services of pre-primary and primary education;102.7;100.0;103.5;105.8;109.4
CC13-10101;      Services of elementary sector;103.6;100.0;103.7;106.2;109.7
CC13-10102;      Fee for primary school or class 1 - 4;98.4;100.0;101.7;102.8;107.3
CC13-102;  Services of secondary education;99.8;100.0;101.3;102.4;105.1
CC13-1020;    Services of secondary education;99.8;100.0;101.3;102.4;105.1
CC13-10200;      Fee for secondary school;99.8;100.0;101.3;102.4;105.1
CC13-104;  Services of tertiary education;99.3;100.0;101.1;103.6;109.5
CC13-1040;    Services of tertiary education;99.3;100.0;101.1;103.6;109.5
CC13-10400;      University tuition fee and/or registration fee;99.3;100.0;101.1;103.6;109.5
CC13-105;  Education services not definable by level;98.3;100.0;102.2;105.4;110.1
CC13-1050;    Education services not definable by level;98.3;100.0;102.2;105.4;110.1
CC13-10500;      Education services not definable by level;98.3;100.0;102.2;105.4;110.1
CC13-11;Restaurant and accommodation services;98.0;100.0;102.7;110.5;119.5
CC13-111;  Restaurant services;97.7;100.0;102.9;110.6;119.8
CC13-1111;    Restaurants, cafes, street sale and the like;97.7;100.0;103.0;111.1;120.4
CC13-11111;      Food and beverages in restaurants, cafes, bars;97.7;100.0;102.7;110.1;118.4
CC13-11112;      Food and beverages in fast food rest. or the like;97.7;100.0;103.4;112.3;122.9
CC13-1112;    Services in canteens;97.5;100.0;101.7;106.8;114.6
CC13-11120;      Services in canteens;97.5;100.0;101.7;106.8;114.6
CC13-112;  Accommodation ;98.9;100.0;102.2;110.0;118.2
CC13-1120;    Accommodation;98.9;100.0;102.2;110.0;118.2
CC13-11201;      Accomodation services of hotels, inns or the like;99.7;100.0;101.4;110.1;117.8
CC13-11202;      Accomod.services, holiday villages, camping sites;97.1;100.0;104.6;110.8;119.7
CC13-11203;      Accommodation services of other establishments;98.3;100.0;101.3;103.8;115.6
CC13-12;Miscellaneous goods and services;97.5;100.0;103.8;106.1;113.0
CC13-121;  Personal care;98.7;100.0;103.2;109.7;119.1
CC13-1211;    Hairdressing services, other serv. for pers. care;95.9;100.0;104.2;109.5;116.8
CC13-12111;      Hairdressing services for men and children;94.6;100.0;106.0;112.4;120.8
CC13-12112;      Hairdressing services for women;95.4;100.0;104.6;110.4;118.3
CC13-12113;      Other services for personal care;97.6;100.0;102.2;106.0;111.5
CC13-1212;    Electrical appliances for personal care;99.9;100.0;101.1;104.4;111.5
CC13-12121;      Electrical appliances for personal care;99.9;100.0;101.1;104.4;111.5
CC13-1213;    Other articles and products for personal care;101.3;100.0;102.5;110.1;121.6
CC13-12131;      Non-electrical consumer goods for personal care;99.5;100.0;102.6;106.4;114.2
CC13-12132;      Non-durable consumer goods for personal care;101.4;100.0;102.5;110.5;122.3
CC13-123;  Personal effects n.e.c.;98.8;100.0;102.0;106.6;112.1
CC13-1231;    Jewellery, clocks and watches;97.8;100.0;103.0;108.9;114.5
CC13-12311;      Jewellery;97.1;100.0;104.0;111.1;116.6
CC13-12312;      Watch or other clocks;100.2;100.0;100.6;103.2;108.6
CC13-12313;      Repair of a clock or jewellery;97.7;100.0;102.9;110.4;120.5
CC13-1232;    Other personal effects;100.3;100.0;100.6;103.3;108.4
CC13-12321;      Travel goods and other leather goods;100.5;100.0;100.2;102.6;107.8
CC13-12322;      Baby equipment;101.2;100.0;100.8;102.6;106.1
CC13-12329;      Other personal effects;99.7;100.0;101.1;104.7;110.4
CC13-124;  Social protection services;94.7;100.0;105.5;103.8;114.6
CC13-1240;    Social protection services;94.7;100.0;105.5;103.8;114.6
CC13-12401;      Child care services;99.3;100.0;101.7;105.3;111.0
CC13-12402;      Sheltered housing for elderly persons or the like;94.5;100.0;105.8;101.8;111.4
CC13-12403;      Domestic care services, elderly, disabled persons;93.4;100.0;106.4;111.4;129.8
CC13-125;  Insurance services;99.6;100.0;101.4;103.4;107.0
CC13-1252;    Insurance services connected with the dwelling;102.7;100.0;97.1;94.8;93.0
CC13-12520;      Premium for home contents insurance;102.7;100.0;97.1;94.8;93.0
CC13-1253;    Insurance services connected with health;98.6;100.0;102.9;105.2;107.0
CC13-12532;      Insurance services conn. with accident and health;98.6;100.0;102.9;105.2;107.0
CC13-1254;    Insurance services connected with transport;99.3;100.0;100.6;102.6;110.6
CC13-12541;      Insurance serv. conn. with means of privat transp.;99.3;100.0;100.6;102.5;110.6
CC13-12542;      Insurance services conn. with travel and luggage;97.4;100.0;102.1;104.3;108.8
CC13-1255;    Other insurance services;100.7;100.0;102.0;105.6;106.4
CC13-12550;      Other insurance services;100.7;100.0;102.0;105.6;106.4
CC13-126;  Financial services n.e.c.;95.7;100.0;104.9;107.9;109.8
CC13-1262;    Other financial services n.e.c.;95.7;100.0;104.9;107.9;109.8
CC13-12621;      Charges f. financial services of banks or the like;96.1;100.0;104.2;107.8;109.8
CC13-12622;      Charges for investment counceling, tax advise;94.6;100.0;106.7;108.1;109.9
CC13-127;  Other services n.e.c.;99.4;100.0;105.8;108.8;113.2
CC13-1270;    Other services n.e.c.;99.4;100.0;105.8;108.8;113.2
CC13-12701;      Administrative fee;99.2;100.0;109.1;110.2;111.2
CC13-12702;      Legal advise, fee for lawyer's, notary's services;100.4;100.0;109.2;111.4;114.4
CC13-12703;      Charge for funeral services or cemetery fee;98.5;100.0;103.0;107.4;113.2
CC13-12704;      Other fees and services;97.2;100.0;101.5;102.7;109.1
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-04-24 / 23:50:16
